Period (s), Velocity (km/s), Mode
0.1, 0.4084137769879325, 0
0.119, 0.41203468763246376, 0
0.138, 0.4163044019879325, 0
0.158, 0.42142128431215126, 0
0.177, 0.4266913648785576, 0
0.196, 0.43199989759340135, 0
0.215, 0.43676033460512004, 0
0.234, 0.4402988477887137, 0
0.254, 0.4423487135113699, 0
0.273, 0.44292580091371364, 0
0.292, 0.4425067945660574, 0
0.311, 0.44128456556215107, 0
0.33, 0.4394464918316823, 0
0.349, 0.43719948255433855, 0
0.369, 0.4345764967144948, 0
0.388, 0.431959614390276, 0
0.407, 0.4292932935894948, 0
0.426, 0.42662086927308857, 0
0.445, 0.42396919690980733, 0
0.465, 0.42121437513246357, 0
0.484, 0.4186377760113698, 0
0.503, 0.4160990186871511, 0
0.522, 0.41359138929261985, 0
0.541, 0.4111002393902761, 0
0.561, 0.40846748792543236, 0
0.58, 0.40590126478090116, 0
0.599, 0.40310677015199486, 0
0.618, 0.39959389173402615, 0
0.637, 0.39847664319886994, 0
0.657, 0.3971176954449636, 0
0.676, 0.3957776685894948, 0
0.695, 0.39443336927308853, 0
0.714, 0.3931043287457448, 0
0.733, 0.3918009229840261, 0
0.753, 0.3904633375348073, 0
0.772, 0.389227680796526, 0
0.791, 0.3880280348004322, 0
0.81, 0.3868650098980884, 0
0.829, 0.38573799573793216, 0
0.848, 0.38464638196840084, 0
0.868, 0.3835352369488696, 0
0.887, 0.3825144239605884, 0
0.906, 0.3815259596051196, 0
0.925, 0.3805686231793383, 0
0.944, 0.3796424146832446, 0
0.964, 0.37869850599183824, 0
0.983, 0.3778308912457445, 0
1.002, 0.37698952161683813, 0
1.021, 0.3761743971051194, 0
1.04, 0.37538368665590066, 0
1.06, 0.3745764967144944, 0
1.079, 0.37383278333558806, 0
1.098, 0.37311104261293176, 0
1.117, 0.37240944349183797, 0
1.136, 0.37172737562074426, 0
1.156, 0.37103065931215057, 0
1.175, 0.3703864332379318, 0
1.194, 0.3697599073590255, 0
1.213, 0.36914925062074416, 0
1.232, 0.3685550733746504, 0
1.252, 0.3679450269879316, 0
1.271, 0.36738075696840033, 0
1.29, 0.36683052503480656, 0
1.309, 0.3662931104840253, 0
1.328, 0.36576851331605653, 0
1.347, 0.3652555128277753, 0
1.367, 0.36472847425355653, 0
1.386, 0.3642392774762127, 0
1.405, 0.3637604566754314, 0
1.424, 0.3632920118512126, 0
1.443, 0.36283333265199386, 0
1.463, 0.36236061536683756, 0
1.482, 0.3619208570660563, 0
1.501, 0.36148964368715003, 0
1.52, 0.3610663648785563, 0
1.539, 0.36065163099183756, 0
1.559, 0.36022285901918133, 0
1.578, 0.3598233839215251, 0
1.597, 0.35943123304261876, 0
1.616, 0.35904518567933746, 0
1.635, 0.3586658521832437, 0
1.655, 0.3582737013043374, 0
1.674, 0.3579071851910561, 0
1.693, 0.3575467725933998, 0
1.712, 0.357191853159806, 0
1.731, 0.35684242689027473, 0
1.751, 0.3564801832379309, 0
1.77, 0.3561411329449622, 0
1.789, 0.3558069654644934, 0
1.808, 0.35547707044496213, 0
1.827, 0.35515266858949335, 0
1.846, 0.3548319288433996, 0
1.866, 0.35449898206605585, 0
1.885, 0.3541873975933996, 0
1.904, 0.35387886487855585, 0
1.923, 0.3535752149762121, 0
1.942, 0.3532746168316808, 0
1.962, 0.3529624220074621, 0
1.981, 0.35266914808168087, 0
2.0, 0.3523795362652746, 0
0.1, 0.44494418470277636, 1
0.119, 0.4539837965191826, 1
