Period (s), Velocity (km/s), Mode
0.138, 0.4602957472027763, 1
0.158, 0.467570832651995, 1
0.177, 0.4753580030621512, 1
0.196, 0.4797522291363699, 1
0.215, 0.4799936231793387, 1
0.234, 0.480214875620745, 1
0.254, 0.48163852064027624, 1
0.273, 0.48446841565980747, 1
0.292, 0.4886178907574637, 1
0.311, 0.4937445387066825, 1
0.33, 0.4995108350934013, 1
0.349, 0.5056647047223075, 1
0.369, 0.5123703321637139, 1
0.388, 0.5188275465191827, 1
0.407, 0.5252798780621515, 1
0.426, 0.5316595777691828, 1
0.445, 0.5379178175152766, 1
0.465, 0.544334138316058, 1
0.484, 0.5502426466168393, 1
0.503, 0.5559540113629331, 1
0.522, 0.5614633497418395, 1
0.541, 0.5667700514019959, 1
0.561, 0.572146333140277, 1
0.58, 0.5770648512066832, 1
0.599, 0.5818130811871518, 1
0.618, 0.5864062818707456, 1
0.637, 0.5908627638043393, 1
0.657, 0.5954254469098081, 1
0.676, 0.5996573194684018, 1
0.695, 0.6038080152691832, 1
0.714, 0.6078970655621518, 1
0.733, 0.6119443067730892, 1
0.753, 0.6161807569684016, 1
0.772, 0.6202035841168391, 1
0.791, 0.6242483839215266, 1
0.81, 0.628335908335589, 1
0.829, 0.6324930128277765, 1
0.848, 0.636746552866839, 1
0.868, 0.6413626417340265, 1
0.887, 0.6459176954449639, 1
0.906, 0.6506839307965264, 1
0.925, 0.655711396616839, 1
0.944, 0.6610684522809014, 1
0.964, 0.6671567091168389, 1
0.983, 0.6734842237652764, 1
1.002, 0.6805026563824638, 1
1.021, 0.6884353956402763, 1
1.04, 0.6976266798199638, 1
1.06, 0.7092874464215265, 1
1.079, 0.723361543101214, 1
1.098, 0.7427969679059016, 1
1.117, 0.775888398569964, 1
0.1, 0.45953245374574514, 2
0.119, 0.4760244581402764, 2
0.138, 0.4858086988629326, 2
0.158, 0.4854080030621513, 2
0.177, 0.48562925550355757, 2
0.196, 0.49199918958558886, 2
0.215, 0.5068401930035575, 2
0.234, 0.5280593702496512, 2
0.254, 0.5587664625348076, 2
0.273, 0.5974825880230887, 2
0.292, 0.6428664991559013, 2
0.311, 0.6856246778668389, 2
0.33, 0.7211892530621514, 2
0.349, 0.752034589976214, 2
0.369, 0.7824978468121515, 2
